"Energy (MeV/amu)","Particle = photon_Depth = 0","Particle = electron_Depth = 0","Particle = positron_Depth = 0","Particle = mu-_Depth = 0","Particle = mu+_Depth = 0","Particle = pi-_Depth = 0","Particle = pi+_Depth = 0","Particle = neutron_Depth = 0","Particle = proton_Depth = 0","Particle = deuteron_Depth = 0","Particle = triton_Depth = 0","Particle = helion_Depth = 0","Particle = alpha_Depth = 0","Particle = Li6_Depth = 0","Particle = Li7_Depth = 0","Particle = Be8_Depth = 0","Particle = Be9_Depth = 0","Particle = B10_Depth = 0","Particle = B11_Depth = 0","Particle = C12_Depth = 0","Particle = C13_Depth = 0","Particle = N14_Depth = 0","Particle = N15_Depth = 0","Particle = O16_Depth = 0","Particle = O17_Depth = 0","Particle = F18_Depth = 0","Particle = F19_Depth = 0","Particle = Ne20_Depth = 0","Particle = Ne21_Depth = 0","Particle = Ne22_Depth = 0"
0.01,409.0334,414.0112,4.649675,1.725345e-7,0.0001142017,0.00009114749,0.0001139792,507712.5,102334200,1.707951,0.4271406,0.3053804,4.08034,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.01875291,1094.4,572.5858,7.413804,1.35338e-7,0.00008958083,0.00007149688,0.00008940631,474126.2,99780220,1.338055,0.3345379,0.2179839,2.910915,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.03480407,4012.788,729.3156,11.70341,1.132249e-7,0.00007494342,0.00005981436,0.00007479741,355637.5,95096790,1.116109,0.2788473,0.1674743,2.233136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.0623433,57753.78,846.8823,17.6664,1.079155e-7,0.00007135687,0.00005695169,0.0000712177,75967.67,87061350,1.055969,0.2634013,0.1422922,1.890934,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.1040279,237217.9,911.4029,24.56439,1.159049e-7,0.00007656117,0.0000611052,0.00007641171,76695.08,74898560,1.120097,0.2785688,0.1307322,1.725848,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.1596987,193213.7,929.9277,31.17184,1.294936e-7,0.00008544515,0.00006819545,0.00008527817,39779.39,56352800,1.228948,0.3042356,0.1271803,1.661191,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.228618,127752.6,913.3019,36.65876,1.452175e-7,0.00009571163,0.00007638898,0.00009552437,40161.64,36234180,1.346297,0.331184,0.1286731,1.65446,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.3128875,78576.74,868.2808,40.77124,1.632273e-7,0.0001074538,0.00008576012,0.0001072434,27506.38,22590680,1.470476,0.3587211,0.1332756,1.676533,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.4148185,51216.06,802.7465,43.36384,1.841235e-7,0.000121059,0.00009661786,0.0001208216,20683.64,13541760,1.603623,0.3870279,0.1398763,1.708356,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.5395213,35858.08,726.4137,44.58347,2.088607e-7,0.0001371446,0.0001094549,0.0001368753,20326.34,7589687,1.74891,0.4163289,0.1478054,1.734991,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
